"newspaper","location","circulation","e2016","e2012","link","lat","lng","blurb"
"Observer-Reporter","Washington, PA",32350,"C","Mitt Romney","http://www.observer-reporter.com/20161105/hillary_clinton_for_president",40.17396,-80.246171,"Amid all the sound and fury surrounding the candidacy of Donald Trump, the fact that Hillary Clinton would shatter &lsquo;the highest glass ceiling&rsquo; and become our first female president has almost been lost in the shuffle. And it stands to reason that at least a portion of the fervent opposition to Clinton is based on misogyny, whether her detractors like to admit it or not."
"Ledger-Enquirer","Columbus, GA",31864,"C","No endorsement","http://www.ledger-enquirer.com/opinion/article112619393.html",32.460976,-84.987709,"This call is not close. Her opponent, Donald Trump, lacks even so fragile a grasp of core American principles as to make it past Amendment 1: He has repeatedly threatened to muffle the media and retaliate against critics once he is in office."
"Duluth News Tribune","Duluth, MN",31534,"NO","Mitt Romney","http://www.duluthnewstribune.com/opinion/4142665-non-endorsement-time-president-none-above",46.7866719,-92.1004852,"The inescapable fact is that Clinton and Trump are viable candidates only in relation to each other."
"The Joplin Globe","Joplin, MO",30558,"C","Mitt Romney","http://www.joplinglobe.com/opinion/columns/our-view-a-nation-at-risk/article_66322361-5c0a-5933-891f-54e443e46d35.html",37.0842271,-94.513281,"When it comes to the future security of America — the most important issue of our time — Clinton is the candidate who makes the most sense."
"Cumberland Times-News","Cumberland, MD",30233,"C","","http://www.times-news.com/opinion/editorials/cumberland-times-news-why-we-have-decided-to-endorse-hillary/article_ddd2a2f0-1f67-5d4b-a21b-a50660e198c9.html",39.6528654,-78.7625185,"Engaging in domestic politics and government, and practicing international diplomacy, require an ability to compromise that Trump has never demonstrated. Clinton has been doing this for years, first as a U.S. senator and then as secretary of state. She has had to remain at least outwardly calm while dealing with personalities and situations that would send Trump into orbit faster than a Saturn 5 rocket."
"The Tribune-Democrat","Johnstown, PA",30024,"C","Mitt Romney","http://www.tribdem.com/news/editorials/editorial-hillary-clinton-the-only-choice-for-president/article_aa5c6e26-8cc2-11e6-b240-87fad7b37294.html",40.3267407,-78.9219698,"The office of president will face many crucial issues in the next term – and will make decisions and take actions that will require a steady hand and clear mind, diplomacy, tact, experience and leadership.\nTrump has shown he possesses none of those qualities."
"Staten Island Advance","Staten Island, NY",29893,"C","Barack Obama","http://www.silive.com/opinion/index.ssf/2016/10/our_choice_for_president_hilla.html",40.5795317,-74.1502007,"Vote for Mrs. Clinton because in this election, she alone displays the dignity, the grace, the passion and compassion, the mental acumen, the temperament – and yes, the incredible experience on the national and international level – that will allow America the best opportunity to move forward in how we treat our neighbors here and abroad, and how we will protect ourselves from those neighbors out to not just do us harm, but to destroy our way of life."
"Sioux City Journal","Sioux City, IA",29861,"NO","Mitt Romney","http://siouxcityjournal.com/news/opinion/editorial/our-opinion-neither-clinton-nor-trump-earns-endorsement/article_4087b224-6926-5ad6-989f-bf0409af4e9c.html",42.4999942,-96.4003069,"Hillary Clinton or Donald Trump...will be the 45th president of the United States, but we neither believe in nor can we, with honesty and in good conscience, recommend and build the case for either of them."
"Chico Enterprise-Record","Chico, CA",29843,"NO","Mitt Romney","http://www.chicoer.com/opinion/20161018/editorial-for-president-we-cannot-endorse-anybody",39.7284944,-121.8374777,"If only Hillary Clinton was a better option. Her carelessness and duplicity with her private email server is only the most significant of many red flags. The pay-to-play Clinton Foundation, the response and misplaced blame for what happened in Benghazi, her coziness with corporations and her penchant to drift on her positions are all concerns."
"The Lima News","Lima, OH",29819,"NO","Mitt Romney","http://limaohio.com/news/211410/editorial-trump-or-clinton-why-or-why-not",40.742551,-84.1052256,"We hoped the two candidates would emerge from the July conventions with fresh ideas for building the economy, ensuring our safety and providing opportunity. Instead, they spent most of August, September and October attacking each other’s character."
"Lubbock Avalanche-Journal","Lubbock, TX",29685,"T","Mitt Romney","http://lubbockonline.com/filed-online/2016-11-06/our-view-trumps-conservative-views-make-him-best-choice#.WCAg-eErJE5",33.577863,-101.855166,"A political outsider and a successful businessman may be exactly what we need to carry the country forward in the coming years. Americans cannot take another four years of big government, the Affordable Care Act and foreign government hand-holding."
"Kenosha News","Kenosha, WI",29647,"C","","http://www.kenoshanews.com/opinion/we_endorse_hillary_clinton_for_president_490186518.php",42.5847425,-87.8211854,"Through the campaign, Trump showed that he was tough but his ignorance and arrogance flowed too freely. For the foreseeable future, we need our president to stay on script and on task. We need a president who measures what she says before it is said. Those are not skills that Trump embraces or even understands."
"The Citizens' Voice","Wilkes-Barre, PA",29575,"C","Barack Obama","http://citizensvoice.com/opinion/we-endorse-hillary-cliniton-for-president-1.2107542",41.2459149,-75.8813075,"One result is that Clinton has been politically battle-tested — not just in the context of political campaigns but in actual governance at multiple levels — like few candidates in history. Her adversaries inevitably learn that she is tough, smart and prepared, and that she perseveres, just as adversaries of the United States would come to realize during a Hillary Clinton presidency."
"El Diario La Prensa","New York, NY",29339,"C","","http://eldiariony.com/2016/10/17/el-diario-endorses-hillary-clinton-for-president-of-the-united-states/",40.7127837,-74.0059413,"[Trump] would also bring an unprecedented social upheaval, test the strength of democracy, and pose an unprecedented threat to the freedom of press."
"Topeka Capital-Journal","Topeka, KS",29168,"T","","http://cjonline.com/opinion/2016-11-05/editorial-trump-right-choice-president",39.055824,-95.689018,"Too many Americans, particularly those in rural areas of Kansas, feel they are being left behind in our modern economy. They see stagnant growth and few career opportunities. They believe they can’t give their children better than their parents gave them, and they worry what tribulations may lie ahead. They are willing to place their trust in a new voice calling for change."
"The Register-Herald","Beckley, WV",28670,"C","","http://www.register-herald.com/opinion/editorials/trump-video-is-the-final-straw-we-are-with-her/article_1f4de628-b921-5fce-ba14-4f9bbbd256c2.html",37.786654,-81.187553,"The audio represents an extraordinary level of vulgarity never known to a presidential contest in the U.S. and speaks to his ignorance about what constitutes sexual assault."
"Muskegon Chronicle","Muskegon, MI",28500,"C","Barack Obama","http://www.mlive.com/opinion/index.ssf/2016/10/hillary_clinton_is_best_for_mi.html",43.2341813,-86.2483921,"As promised, the Republican candidate has broken all the rules of politics – but also any sense of decorum and civility along the way. The despicable things he&rsquo;s said about women and minorities, not to mention the sexual assault allegations, reveal character we would not value in anyone, let alone the leader of a nation that prides itself on freedom and equality."
"The Post-Star","Glens Falls, NY",28001,"C","Barack Obama","http://poststar.com/news/opinion/editorial/endorsement-we-fear-this-presidential-election/article_4315ba43-3216-518e-8b01-d256efd0d097.html",43.3095164,-73.6440058,"We found Trump’s promise to jail Clinton if he is elected during the last debate to be one of the most chilling pronouncements in the history of American politics."
"Tribune-Star","Terre Haute, IN",27895,"C","","http://www.tribstar.com/opinion/editorials/editorial-for-presidency-clinton-the-clear-choice/article_2535edec-699b-5fd8-aa71-56b0656d7594.html",39.4667034,-87.4139092,"Hillary Clinton is clearly the better choice to serve as America’s 45th president in a complex world. Her skill set and experience match the deep and broad demands of that difficult office. Trump, through his immature actions and statements, has conclusively proven that he represents a threat to the republic and the values upon which its foundation was built."
"The Bulletin","Bend, OR",27599,"C","Mitt Romney","http://www.bendbulletin.com/opinion/4730068-151/editorial-hillary-clinton-for-president?referrer=fpblob",44.0581728,-121.3153096,"It doesn’t matter what a candidate thinks about, oh, tax policy and federal land management if that candidate is neither qualified for the nation’s most important elective office nor temperamentally suited to it. Such is the case with Trump, who has never held elective office of any kind."
"The Beaver County Times","Beaver, PA",27512,"C","","http://www.timesonline.com/opinion/editorials/a-vote-for-experience-and-diplomacy/article_ca3e5f9a-9d18-11e6-9b78-fb09f7f9c972.html",40.6953437,-80.3047846,"Trump delivers campaign slogans, ignores specifics and seems to relish the role of political bully. His campaign has included callous and disgusting comments about women, a near disdain for American democracy and fiscal recklessness that is a slap in the face to a Republican Party that once prided itself on fiscal conservatism and less government."
"Kennebec Journal","Augusta, ME",27500,"C","","http://www.centralmaine.com/2016/09/25/our-opinion-hillary-clinton-is-our-choice-for-president/",44.3106241,-69.7794897,"Donald Trump may be the worst major-party candidate in history. He is self-centered, reckless and mean-spirited. He is a salesman who has never sold anything other than himself, and leaves a trail of broken promises, lawsuits and bankruptcies wherever he goes. He is ignorant about government and world affairs but talks as if he knows it all.\nAnd he takes advantage of racial, ethnic and religious tensions to build support for himself. His careless rhetoric has brought nativists and racists out of the shadows and has spread distrust and division. Trump doesn’t have the character or the judgment to be the president of the United States, and in any normal year, his candidacy would be a joke."
