"newspaper","location","circulation","e2016","e2012","link","lat","lng","blurb"
"The Monterey Herald","Monterey, CA",20150,"C","Barack Obama","http://www.montereyherald.com/opinion/20161105/editorial-nov-3-2016-election-herald-editorial-board-recommendations",36.577253,-121.811038,""
"The Standard-Speaker","Hazleton, PA",20000,"C","","http://standardspeaker.com/opinion/the-case-for-clinton-1.2108217",40.9584181,-75.9746472,"One result is that Clinton has been politically battle-tested — not just in the context of political campaigns but in actual governance at multiple levels — like few candidates in history. Her adversaries inevitably learn that she is tough, smart and prepared, and that she perseveres, just as adversaries of the United States would come to realize during a Hillary Clinton presidency."
"Janesville Gazette","Janesville, WI",20000,"NO","Mitt Romney","http://www.gazettextra.com/20161106/our_views_both_nominees_unworthy_of_the_presidency",42.682789,-89.018722,"These two candidates are worse than a disappointment. They are an embarrassment to this nation, and we can only imagine how people around the world are shaking their heads that one of these two will end up leading America."
"The Standard Times","New Bedford, MA",19972,"C","Barack Obama","http://www.southcoasttoday.com/opinion/20161106/our-view-hillary-for-president---trump-is-threat-to-democracy",41.636215,-70.934205,"We detest the fact that before we offer our reasons for supporting Ms. Clinton that we feel compelled to address once more this fool who pretends to the most powerful position on earth."
"Commercial-News","Danville, IL",19885,"C","","http://www.commercial-news.com/opinion/clinton-the-obvious-choice-for-president/article_7a711c36-fb52-5e31-91bb-c7b3159d5582.html/",40.124481,-87.6300207,"Policy proposals, experience and temperament should be the basis for evaluating presidential candidates, not campaign commercials or social media. With those criteria in mind, we endorse Hillary Clinton to be the next president of the United States."
"The Santa Fe New Mexican","Santa Fe, NM",19836,"C","Barack Obama","http://www.santafenewmexican.com/opinion/editorials/our-view-for-president-hillary-clinton/article_2a3e046e-30ca-5991-b35e-8f2989ccf7ce.html",35.6070946,-106.0388618,"Vote <i>for</i> her, not just against Trump. Hillary Clinton has earned the nation’s support. She is seasoned. She is smart. And she — in the words of her opponent — won’t quit. "
"Enid News & Eagle","Enid, OK",19594,"C","","http://www.enidnews.com/opinion/editorial-hillary-clinton-is-our-choice-for-commander-in-chief/article_c41d1c20-8cbd-11e6-9a59-f36b82784d02.html",36.3955891,-97.8783911,"We have policy disagreements with Clinton, but she is competent and capable of handling the incredible responsibility of being our nation’s commander in chief and leader of the free world. She has a record of public service as a senator, secretary of state and first lady. She has the temperament and experience to be president."
"Daily Camera","Boulder, CO",19459,"C","Barack Obama","http://www.dallasnews.com/opinion/editorials/2016/09/07/recommend-hillary-clinton-us-president",40.0149856,-105.2705456,"Trump is almost certainly the least knowledgeable, least serious major-party candidate for president in U.S. history. He believes many things that are demonstrably untrue. His campaign has brought into the light, like cockroaches from beneath society&rsquo;s baseboards, some of the kookiest, scariest fringe groups in American politics. For the first time in half a century, avowed white supremacists have been invited into the mainstream of a major party."
"The Daily Independent","Ashland, KY",19220,"C","","http://www.dailyindependent.com/opinion/in-our-view-clinton-the-only-choice-for-president/article_8d51ff7a-8cb4-11e6-9f36-9bcfa7739dd8.html",38.4784144,-82.6379387,"The presidency is not an entry-level position. It demands a steady hand, cool head, thick skin, mental toughness, diplomatic skill, bipartisan spirit, patience, and the ability to think rigorously before acting. Hillary Clinton is that person. "
"Stamford Advocate","Stamford, CT",19144,"C","Barack Obama","http://www.stamfordadvocate.com/news/article/Editorial-Hillary-Clinton-for-president-10420804.php",41.0534302,-73.5387341,"Young women deserve to live in an America where a woman serves as president. Young men deserve it too."
"Star Beacon","Ashtabula, OH",18974,"C","","http://www.starbeacon.com/opinion/editorials/hillary-clinton-is-best-fit-to-be-president/article_a955adbd-757f-50b2-beb2-c8195c64e3f4.html",41.865294,-80.783396,"Trump&rsquo;s dark, derogatory vision leaves no minority group untarnished. His comments encourage hatred among us. He blames every problem on others, and claims he is the only candidate who can make America a &lsquo;winner&rsquo; with his wheeling-dealing business style — a style that featured bankruptcies and mountainous debt to avoid paying taxes."
"The Valdosta Daily Times","Valdosta, GA",18433,"C","","http://www.valdostadailytimes.com/opinion/editorials/we-choose-clinton/article_37621008-a616-5cee-9288-aa6bae163ffe.html",30.8327022,-83.2784851,"Her record of public service, her knowledge of complex world issues facing our nation, her steady hand and her measured leadership make her the only choice to become our nation’s next president."
"Greeley Tribune","Greeley, CO",18200,"NO","","http://www.greeleytribune.com/news/opinion/bangert-it-will-be-a-long-wait-before-you-hear-of-our-presidential-endorsement/",38.469758,-101.758923,"Our reasoning on the presidential race is simple: We can offer no insight about the candidates that our readers don’t already have. You watch the same commercials as we do. You listen to the same debates, you get bombarded with the same phone calls and emails, and you watch as your second cousin’s brother-in-law from Nebraska goes on a Facebook rant against his least favored candidate."
"The Herald Bulletin","Anderson, IN",18160,"C","Barack Obama","http://www.heraldbulletin.com/opinion/editorial-clinton-clearly-better-choice-for-president/article_af45caef-631f-5561-8d6a-db8fbd40f9b6.html",40.1053196,-85.6802541,"Change for the sake of change alone is a bad idea, while a comprehensive, considered, informed agenda to meet challenges at home and abroad is the key to our country&rsquo;s future."
"The Times-Reporter","New Philadelphia, OH",18132,"NO","No Endorsement","http://www.timesreporter.com/opinion/20161106/our-opinion-times-reporter-endorsement-roundup",40.489787,-81.445671,"[N]either Hillary Clinton nor Donald Trump has shown the ability to inspire, to unify or to put an end to the distrust and divisiveness. We see on the horizon more of the same partisan gridlock of which Americans have grown increasingly weary."
"The Northwest Arkansas Democrat Gazette","Fayetteville, AR",17807,"NO","","http://m.nwaonline.com/news/2016/oct/09/not-for-hillary-20161009/",36.0625795,-94.1574263,"Maybe it&rsquo;d be easier to list the things she hasn&rsquo;t promised to spend more money on. After all, she&rsquo;s had to promise so much to so many in order to keep up with her primary opponent that it&rsquo;s easy to find speeches in which she&rsquo;s promised the moon."
"The Bulletin","Norwich, CT",17801,"C","Mitt Romney","http://www.norwichbulletin.com/opinion/20161022/our-view-clinton-has-experience-knowledge-to-lead-country",41.5242649,-72.0759105,"Clinton’s pragmatic centrism — contrary to her false reputation as a fierce partisan in conservative circles — position her to build consensus with opponents and lead the country forward rather than allowing it to stagnate or backslide. The petty, juvenile Trump shows no such competency."
"The MetroWest Daily News","Framingham, MA",17542,"C","Barack Obama","http://www.metrowestdailynews.com/opinion/20161030/editorial-hillary-clinton-for-president",42.279286,-71.4161565,"Presidential priorities matter. Clinton’s career reflects a passion for family issues: education, health care, women’s rights, children’s welfare, and we’re confident she’ll work diligently to improve the lives of Americans."
"The Exponent-Telegram","Clarksburg, WV",16892,"NO","Mitt Romney","http://www.theet.com/opinion/editorials/one-for-the-ages-and-not-in-a-good-way/article_57b19984-db49-561b-bc85-d01890feb713.html",39.280645,-80.344534,"So, please, continue to study the candidates and consider your vote carefully. Pray about making the right decision and pray for this country. More than anything, make sure you take the time to vote on Tuesday. In a presidential race this tight, every vote counts."
"Valley News","West Lebanon, NH",16605,"C","Barack Obama","http://www.vnews.com/A-Vote-for-Hillary-Clinton-s-America-5785006",43.214263,-72.349412,"Donald Trump’s America is one made in his own image. We urge voters to choose instead to live in Hillary Clinton’s America. Flawed though it may be, it keeps faith with the proposition that people are capable of living together peacefully, if occasionally uncomfortably, and solving their problems through democratic self-government. "
"Sentinel & Enterprise","Fitchburg, MA",16393,"NO","Mitt Romney","http://www.sentinelandenterprise.com/editorial/ci_30498565/editorial-neither-why-we-cant-endorse-donald-trump",42.5834228,-71.8022955,"So we can&rsquo;t let the American public off the hook. It&rsquo;s easy to dismiss this process by saying it&rsquo;s rigged — as Trump would have us believe. However, we&rsquo;ve sown the seeds for our political malaise at the local level, where voters&rsquo; indifference with the process shows in abysmal turnouts at the polls."
"Foster's Daily Democrat","Dover, NH",16235,"C","Mitt Romney","http://www.fosters.com/news/20161016/our-view-clinton-is-best-candidate-for-president",43.1978624,-70.8736698,"We like what she’s fighting for – broad prosperity achieved by public investment in education and clean energy, prudently funded by a fair tax code, and a future in which our country’s diversity brings strength through inclusion."
"The Meridian Star","Meridian, MS",16188,"C","","http://www.meridianstar.com/opinion/editorials/experience-temperament-make-clinton-our-choice/article_bfc67860-31eb-560e-83dd-415efe7cad70.html",32.3643098,-88.703656,"The call for change, any change, by an unconventional candidate tempts us. But the presidency is not an entry-level job that can accommodate someone who displays bizarre behavior and considers his wheeling-and-dealing business record – including bankruptcies and steep debt – as a qualification to lead the nation."
"Globe Gazette","Mason City, IA",15894,"C","","http://globegazette.com/news/opinion/editorial/globe-gazette-editorial-hillary-clinton-is-best-option-for-president/article_5b9c1879-5106-515a-b0b2-54f88ebf6c39.html",43.1535728,-93.2010367,"This race will define the United States for at least the next four years. We must elect a president who has the experience, the ability and the demeanor to do the job, not a person who flies off the handle at a mere tweet, a person failing in so many ways as Trump."
"Danville Register & Bee","Danville, VA",15873,"J","Mitt Romney","http://www.godanriver.com/opinion/editorials/we-support-johnson-for-president/article_b31132c2-a301-11e6-bff5-5f335c12fa62.html",36.585972,-79.395023,"We support Johnson because, like all Libertarians and conservatives, he understands that not all of our problems can be solved with new regulations and more government spending."
"The Norman Transcript","Norman, OK",15785,"C","","http://www.normantranscript.com/opinion/editorials/transcript-endorses-hillary-clinton/article_1d908662-d45b-5248-9dfd-82c16b806f1f.html",35.2225668,-97.4394777,"The fact is the world is moving forward, regardless of how much Trump wants to push us back to the 1950s. Americans need a president who is willing and able to take on the challenges of a modern world, enormous challenges that require more than bluster and rhetoric, which appears to be all Trump has to offer."
"Antelope Valley Press","Palmdale, CA",15735,"T","Mitt Romney","http://www.avpress.com/article-detail.php?articles_id=41401467",34.562165,-118.113242,""
"The News Leader","Staunton, VA",15605,"C","Barack Obama","http://www.newsleader.com/story/opinion/editorials/2016/10/16/clinton-without-hesitation/92165680/",38.150079,-79.073339,"Those of us waiting for America to be &lsquo;great again&rsquo; would do well to watch a woman who, through every challenge, did not surrender to anger and self-pity, but marched onward to higher ground in bigger arenas. Her tenacity is unparalleled in modern American politics."
"The Goshen News","Goshen, IN",15537,"C","","http://www.goshennews.com/indiana/opinion/our-opinion-hillary-clinton-best-choice-for-president/article_c5d8bc56-f859-5914-a700-a5a45de7b34f.html",41.5822716,-85.8344383,"The ease [with] which Trump dismissed as male banter his words about assaulting women perpetuates a culture of silence when little girls are molested and women raped."
"The Jersey Journal","Secaucus, NJ",15410,"C","Barack Obama","http://www.nj.com/opinion/index.ssf/2016/10/vote_for_hillary_clinton_for_president_editorial.html",40.73066,-74.06404,"Former Secretary of State, former U.S. Sen. and former first lady Hillary Clinton deserves our ballots not simply because her election will make history. She deserves our ballots because she will bring to the Oval Office unparalleled experience and proven empathy for people of all walks of life. She will bring a vision for the future that is empowering for the vast majority of Americans. And she will bring the strength to see that vision through to reality."
"The Hawk Eye","Burlington, IA",15399,"C","Barack Obama","http://www.thehawkeye.com/opinion/editorials/our-endorsement---hillary-clinton/article_3c0adc84-4ca3-58f9-9409-ba1f4c0e4901.html",40.8113667,-91.1098193,"Hillary Clinton should be — and we believe will be — the next president of the United States. It will be as historic an election — the first woman to be elected president — as it was in 2008 when Barack Obama became the first black American to win the presidency."
"The Gadsden Times","Gadsden, AL",15347,"NO","No endorsement","http://www.gadsdentimes.com/news/20161030/our-view-study-issues-and-vote-accordingly",34.014264,-86.0066386,"For weeks now, this newspaper has watched the presidential race, hoping for one of the candidates to provide us the basis for a positive endorsement of their candidacy. We’re still waiting."
"Reporter-Herald","Loveland, CO",15290,"C","Mitt Romney","http://www.reporterherald.com/opinion/ci_30473534/clinton-has-resume-job-president",40.3977612,-105.0749801,"Several conservative candidates with the leadership experience, character, aptitude, credentials and ideas to serve this nation well in the White House failed in the primary, and others chose not to run. Of the candidates in all parties who remain in this race, only one can lead this nation for the next four years, and that person is Hillary Clinton."
"St. Augustine Record","St. Augustine, FL",15131,"T","","http://staugustine.com/local-news-opinion/2016-11-06/record-endorsement-trump-our-best-bet-return-core-relevance",29.901244,-81.312434,"Donald Trump is easy to dismiss — a cinch to dislike. He’s coarse and pugnacious. He’s self-absorbed and self-indulgent. But he’s also clearly a man completely unconcerned with &lsquo;fitting in&rsquo; to the crippled calamity of governance. That, alone, recommends him for the job he’s seeking."
"Daily Hampshire Gazette","Northampton, MA",14975,"C","Barack Obama","http://www.gazettenet.com/Editorial-endorses-Hillary-Clinton-for-president-5667239",42.3250896,-72.6412013,"By contrast, Clinton’s Republican opponent, Donald Trump, 70, unleashed a misogynistic, racist and xenophobic campaign the likes of which have not been seen in modern American presidential elections. Trump’s narcissistic bullying; denigration of women, ethnic and racial minorities and disabled people; unwillingness to accept the result of what he claims is a &lsquo;rigged&rsquo; election; and suggestion that he would throw his opponent in jail if he is elected, are character flaws that make him unfit to serve and a danger to the democracy."
"Daily Record","Morristown, NJ",14952,"C","","http://www.dailyrecord.com/story/opinion/editorials/2016/10/09/gop-must-force-trump-drop/91817424/",40.7967667,-74.4815438,"Over the course of the primary and Republican campaign, it became increasingly clear that Trump was totally unfit for the presidency. He has none of the qualities needed to lead what remains the greatest nation on earth — despite his claims to the contrary. He is arrogant, bigoted, impulsive and crude. He doesn’t read, he doesn’t study up on policy, he is reckless with his words and loose with what he passes off as facts."
"Battle Creek Enquirer","Battle Creek, MI",14789,"C","","http://www.battlecreekenquirer.com/story/opinion/editorials/2016/11/06/endorsement-hillary-clinton-president/93293550/",42.321152,-85.179714,"It’s been a stomach-churning fall in America, where the ways of obstructionist politics have come home to roost in an uprising of common people hell-bent on seeing their government make sense again."
"Athens Banner-Herald","Athens, GA",14631,"T","","http://onlineathens.com/opinion/2016-11-05/editorial-trump-choice-change-america",33.951935,-83.357567,"Donald Trump has connected to a frustration in Americans that is rarely seen. They are angry and demanding change. The only path to dramatic change available in this election is Donald Trump."
"Muskogee Phoenix","Muskogee, OK",14567,"C","","http://www.muskogeephoenix.com/opinion/editorially-speaking-trump-s-intolerant-remarks-disqualify-him-as-president/article_95d41fa4-8d98-11e6-9ce5-2bccfcbbeee1.html",35.7365063,-95.3271609,"Hillary Clinton gets our support because she has devoted her life to public service. She has been Secretary of State for four years, U.S. Senator for eight years, and First Lady for eight years. Trump has no prior political or public service experience, having devoted his life to building his brand through real estate deals and his reality TV show, &lsquo;The Apprentice.&rsquo;"
"The Spectrum","St. George, UT",14545,"NO","","http://www.thespectrum.com/story/opinion/2016/10/01/when-you-go-vote-vote-your-conscience/91386892/",37.0965278,-113.5684164,"There will be voters who best identify with Donald Trump. Those people should vote their conscience.\nThere will be other voters who best identify with Hillary Clinton, the Democratic nominee. Those people should vote their conscience."
"Press-Republican","Plattsburgh, NY",14132,"C","No endorsement","http://www.pressrepublican.com/opinion/editorial-why-we-support-clinton-for-president/article_076908b4-9bc8-5c45-9240-f94f1b62aee5.html",44.6994873,-73.4529124,"It has been at least 40 years since the Press-Republican has endorsed a presidential candidate.\nBut the circumstances are so unusual and the stakes are so high in this year’s election, we are breaking with that tradition and supporting Democrat Hillary Clinton for president."
"Centralia Chronicle","Centralia, WA",14000,"NO","No endorsement","http://www.chronline.com/opinion/our-views-we-don-t-pick-winners-and-losers-you/article_baa84bf4-9ad9-11e6-bd3c-8f05907381cf.html",46.719235,-122.954651,"Our editorial board’s stances had always been developed separately from the reporters who go out and gather the news, but the elimination of endorsements helped remove the question for those unfamiliar with standard newspaper operating protocol."
"The Sentinel","Carlisle, PA",13828,"NO","","http://cumberlink.com/news/opinion/columnists/gary_adkisson/adkisson-to-endorse-or-not-to-endorse/article_9dfb68e4-bdd4-5ff9-9c54-14856954f2fd.html",40.1731834,-77.1516489,"That is not to say that neither has an appeal, they do. But their negatives are so great they simply outweigh the positives."
"Midland Daily News","Midland, MI",13803,"C","Mitt Romney","http://www.ourmidland.com/opinion/editorials/article/Our-view-Our-struggles-with-Trump-candidacy-9973851.php",43.6155825,-84.2472116,"In choosing Clinton, we recognize the historic nature of her candidacy — an opportunity to break a centuries-old barrier and become the first woman to be president since the founding of our nation. But we also recognize that in terms of governmental philosophy, there is not much that we agree on."
"The Herald News","Fall River, MA",13638,"C","","http://www.heraldnews.com/opinion/20161030/our-view-hillary-clinton-for-president",41.7014912,-71.1550451,"Fall River was not well served by eight years under George W. Bush. We lost sons to war, and jobs to a failing economy during that tenure. The gains the city has made in the last eight years need to be maintained and built upon, and a Hillary Clinton presidency presents the best opportunity for that to occur."
"The Daily News of Newburyport","Newburyport, MA",13605,"C","","http://www.newburyportnews.com/opinion/editorials/our-view-hillary-clinton-is-the-clear-choice-for-president/article_52c7f0e8-0cc1-50ac-9a2d-c50fd8d1021e.html",42.8125913,-70.8772751,"Hillary Clinton has served as first lady, U.S. senator and secretary of state. Donald Trump is a lifetime wheeler-dealer who has never served anyone but himself. Now he has become a demagogue, playing on fear and anger, with no clear plan to &lsquo;make America great again.&rsquo;"
"Lockport Union-Sun & Journal","Lockport, NY",13528,"C","","http://www.lockportjournal.com/opinion/our-view-hillary-clinton-should-be-president/article_23fba3e0-5557-54cf-8da3-5cc6e108cfb1.html",43.1706128,-78.6903098,"In this year’s presidential race, only one candidate has any idea what it means to serve something greater than self or the proven ability to do so, and that candidate is Hillary Clinton."
"The Keene Sentinel","Keene, NH",13349,"C","Barack Obama","http://www.sentinelsource.com/opinion/editorial/hillary-clinton-is-the-only-real-choice-for-president/article_152cb7a3-fb04-537e-af47-88e258e0e471.html",42.933692,-72.2781409,"The former first lady, U.S. senator and secretary of state is among the most highly qualified candidates in memory in terms of experience, intelligence and demonstrable commitment to public service. Clinton has been on the national and world stage for decades, working tirelessly, making tough calls, taking the heat that comes with partisan politics, and working successfully across the aisle to better the lives of children and others."
"The Herald","Sharon, PA",13283,"C","No endorsement","http://www.sharonherald.com/opinion/editorials/clinton-is-prepared-qualified-to-be-our-next-president/article_57a34bd2-31bf-5c17-902a-38cdbf0b4a69.html",41.232553,-80.505983,"The latest leak of vile statements made by Trump on an open microphone should not surprise anyone. He has said many disgusting and discriminatory things in this campaign. But his shocking references to how he views women, recorded a decade ago and released last week, should be the last straw for those who are ambivalent about his candidacy."
"Beloit Daily News","Beloit, WI",13145,"NO","Mitt Romney","http://www.beloitdailynews.com/opinion/the-worst-choices-from-the-parties/article_ec144454-a2fe-11e6-ad1d-5f6b3a7bfea8.html",42.506744,-89.033158,"It is that dark and pessimistic vision of America that gave us Hillary Clinton and Donald Trump, arguably the worst choice ever to face voters. The political parties called forth the maelstrom by stirring up anger, hate and resentment at every turn."
"Aiken Standard","Aiken, SC",12832,"NO","No endorsement","http://www.aikenstandard.com/opinion/why-the-aiken-standard-doesn-t-endorse-candidates/article_bc6e8906-9f9f-11e6-8001-3399a6bf3857.html",33.5604168,-81.7195533,"This is our position during any election cycle, but the current presidential race is a perfect illustration of why endorsements are best left off the table."
"Effingham Daily News","Effingham, IL",12726,"C","","http://www.effinghamdailynews.com/opinion/editorials/our-view-effingham-daily-news-endorses-hillary-clinton/article_4db7f276-0fb4-5a1f-b54a-f8756452e73d.html",39.1200418,-88.5433829,"Competence is now the only issue in a campaign that has wallowed too long in a fog of rhetoric and hyperbole."
"Clinton Herald","Clinton, IA",12321,"C","","http://www.clintonherald.com/opinion/why-hillary-clinton-is-best-choice-for-president/article_98e91264-3bf4-56b0-9d76-393926df10aa.html",41.839729,-90.189646,"Donald Trump’s checkered resume as a wheeler-dealer real-estate tycoon do not qualify him to be the leader of the free world. He represents a high-risk danger to America and the values for which it stands.\nHillary Clinton’s record of public service and detailed knowledge of the complex and imposing issues the nation will confront in the next four years make her the superior choice to become the next president."
"Merced Sun-Star","Merced, CA",12059,"C","","http://www.mercedsunstar.com/opinion/editorials/article108813657.html",37.3021632,-120.4829677,"Yes, Trump is more charismatic than Clinton. But he’s also a racist, clinically narcissistic, a liar, a cheat (according to lawsuits), a misogynist and a bully. Clinton, by contrast, can be as dull as a suburban grandmother. But she’s also tough enough to stand up to Putin, Bashar Assad or any other enemy. She’s smart enough, and compassionate enough, to lead."
"The Athens Messenger","Athens, OH",12000,"C","","http://www.athensmessenger.com/comment/editorials/endorsements/article_2121c2b7-399c-5843-bc5e-8e0a0f0db9fa.html",39.3292396,-82.1012554,"The words that have come from Donald Trump throughout the course of his campaign should disqualify him for becoming our president."
"Courier News","Somerville, NJ",11943,"C","","http://www.mycentraljersey.com/story/opinion/editorials/2016/10/09/gop-must-force-trump-drop/91817416/",40.5742696,-74.60988,"Trump is a disgrace to the nation. He should abandon the race now — for the good of the nation and the good of the Republican Party. If he refuses, as he has so far insisted he will do, every Republican leader and every Republican candidate on the ballot next month should condemn him and publicly urge him to terminate his campaign."
"The Recorder","Greenfield, MA",11522,"C","Barack Obama","http://www.recorder.com/editorial-clinton-endorsement-5684651",42.587915,-72.5994104,"Sanders’ brand of populist reform caught fire among many voters, and we are happy to see that Clinton has shown a willingness to respond to those voters by supporting a $15-an-hour minimum wage, seeking increased access to Medicare and opposing the Trans-Pacific Partnership trade agreement."
"Times West Virginian","Fairmont, WV",11506,"C","","http://www.timeswv.com/opinion/editorial-hillary-clinton-best-suited-to-be-president/article_de713346-8de8-11e6-8e42-3b7baec50b75.html",39.4850848,-80.1425781,"We do not have confidence Trump has the capacity to remake himself. He has shown many unacceptable attitudes during his initial run for political office, including blatant bigotry, racism, discrimination, disregard for the U.S. Constitution and contempt for anyone who has a different point of view than his. He has made threats against his opponents, incited crowds to attack those who dare to question his platform and has repeatedly sued news organizations for fact-based reporting."
"Longmont Times-Call","Longmont, CO",11435,"C","Mitt Romney","http://www.timescall.com/opinion/editorial/ci_30473592/editorial-hillary-clinton-has-resume-job-president",40.1672068,-105.1019275,"This is not an endorsement taken lightly, nor is it an easy one to make, as Hillary Clinton does not represent the fiscal conservatism, free-market mind-set and desire to keep restraints on government overreach that this newspaper usually supports.\nSadly, neither does Trump."
"The Cullman Times","Cullman, AL",11425,"C","","http://www.cullmantimes.com/opinion/the-times-editorial-clinton-only-choice-for-president/article_6eb95a04-8c1e-11e6-ad0e-fb5a6f602dc4.html",34.1748208,-86.8436124,"Trump shows little understanding of the complexities of domestic and international challenges. His thin skin, impulsiveness and temperament make him a high risk in tense situations. He offers no ideas on how to address increasing racial unrest in urban cities. He cavalierly promises to destroy ISIS with military power and illegal torture. He talks of abandoning NATO and terminating longstanding defense agreements with Japan and South Korea. If elected, there is a strong possibility he might isolate the United States from the world no matter the dire consequences."
"New Castle News","New Castle, PA",11391,"C","Barack Obama","http://www.ncnewsonline.com/opinion/editorials/no-contest/article_e4257da7-3e79-5582-bfa4-3bfd87e73c90.html",41.0036719,-80.347009,"The presidency is not an entry-level position. It demands a depth and breadth of knowledge of critical issues, the willingness to thoughtfully consider facts before acting, and the ability to forge experience into responsible action through sharply honed diplomatic skills, in both foreign and domestic interactions."
"The Daily Citizen","Dalton, GA",11377,"C","","http://www.daltondailycitizen.com/opinion/editorials/hillary-clinton-is-our-choice-for-president/article_ba4ecfa2-4ffb-567e-adc3-08c28ac5e8cd.html",34.7698021,-84.9702228,"Cooperation between Democrats and Republicans has been missing for too many years in Washington. No one else running for president, including the candidates of the Libertarian and Green parties, has the political leadership skill or will to work cooperatively with Congress to get things done."
"Farmington Daily Times","Farmington, NM",11103,"C","","http://www.daily-times.com/story/opinion/editorials/2016/10/29/editorial-daily-times-endorses-hillary-clinton/92951150/",36.728776,-108.206883,"[Trump] is a one-dimensional candidate and he leverages his popularity by bringing out the worst in us. His pitches appeal to our anger and fear, which he directs toward scapegoats. He criticizes systems that have been rigged to benefit the most fortunate but his proposed solutions are unworkable policy modified by a superlative followed by, &lsquo;believe me.&rsquo;"
"Greenwich Time","Old Greenwich, CT",10799,"C","Barack Obama","http://www.greenwichtime.com/news/article/Editorial-Hillary-Clinton-for-president-10420804.php",41.0232624,-73.5652049,"Sonic blasts of rancor from Donald Trump have obscured communication in recent months. Trump has been the funhouse mirror version of a candidate, but the lights are about to be shut down on this carnival and we’re a little queasy from the ride."
"West Central Tribune","Willmar, MN",10723,"NO","Mitt Romney","http://www.wctrib.com/opinion/editorials/4143017-fcc-endorsement-time-president-none-above",45.1223711,-95.048659,"Fifty two years later, we withhold an endorsement, and urge voters to vote their conscience and their values first, their political persuasions a distant second."
"Roswell Daily Record","Roswell, NM",10389,"NO","","http://rdrnews.com/wordpress/blog/2016/10/15/rdr-opts-out-of-endorsements/",33.3942655,-104.5230242,"[T]his time around, we feel endorsements could further divide this city along partisan lines, and right now it’s more important to communicate fair-mindedness than it is to tell you how we’ll be voting. Besides, we can’t even agree among ourselves on who to vote for."
"Gloucester Daily Times","Gloucester, MA",10334,"C","","http://www.gloucestertimes.com/opinion/editorials/our-view-hillary-clinton-is-the-clear-choice-for-president/article_2934f0c8-9ff6-5175-8ce5-959114892771.html",42.6159285,-70.6619888,"Where Trump is shallow and ignorant, Clinton is worldly, knowledgeable and skilled in the art of real politics, both domestic and foreign."
"New Braunfels Herald-Zeitung","New Braunfels, TX",10295,"NO","","http://herald-zeitung.com/opinion/article_7544a546-9cad-11e6-b2f5-0f8d17fa4674.html",29.7030024,-98.1244531,"We have not endorsed a candidate in the presidential race or any other political race on the November ballot and we have no intention of doing so."
"Pharos-Tribune","Logansport, IN",10259,"C","","http://www.pharostribune.com/opinion/editorials/article_715b9d02-cd34-5663-9b1a-152515494b45.html",40.7544843,-86.3566659,"Throughout her service as First Lady, U.S. Senator, and Secretary of State, Democrat Hillary Clinton has spent nearly 25 years developing the skills, relationships, diplomacy, and knowledge needed to prepare her for the job. She has demonstrated she has the mental toughness, patience, composure, and bipartisan spirit to move the nation forward in matters both foreign and domestic."
"Baytown Sun","Baytown, TX",10236,"NO","","http://baytownsun.com/opinion/editorials/article_8493b0c0-9e95-11e6-8a46-23a097e54158.html",29.7589743,-94.9541581,"How, in a nation of more than 300 million people, did we end up with two such disliked and distrusted presidential candidates?"
"The Caledonian-Record","St. Johnsbury, VT",10204,"J","","http://www.caledonianrecord.com/opinion/editorial/editorial-vote-johnson/article_68f5640f-3690-5ffe-8487-12f7d55da62a.html",44.4192627,-72.0151183,"We believe that Hilary Clinton is corrupt and made her fortune selling access to the halls of government. We think Donald Trump is borderline certifiable and as President would somehow cause a global catastrophe."
"The Daily Journal","Vineland, NJ",9983,"C","","http://www.thedailyjournal.com/story/opinion/editorials/2016/10/12/editorial-clinton-should-next-president/91843046/",39.4863773,-75.0259637,"On Nov. 8, Americans have the chance to choose between two visions for America: one that clings to a past that never really existed and one that promises our best days are ahead."
"Iowa City Press-Citizen","Iowa City, IA",9939,"C","Mitt Romney","http://www.press-citizen.com/story/opinion/editorials/our-view/2016/10/22/endorsement-clinton-best-and-only-choice/92530498/",41.6611277,-91.5301683,"We do not back Clinton by virtue of her not being Trump, as others have done. We endorse her with the knowledge she will start work immediately, and do her best to restore a badly shaken confidence in American politics wrought by this election cycle. "
"Glasgow Daily Times","Glasgow, KY",9925,"C","","http://www.glasgowdailytimes.com/opinion/column-clinton-is-the-clear-choice/article_db242528-90a3-11e6-8884-7b03b806ef91.html",36.9958839,-85.9119215,"Hillary Clinton is the clear choice to be the next president of the United States. Her proposals, temperament, willingness to work with the other party and a long resume of public service distinguish her. She has demonstrated that she has the intellect, experience, toughness and courage to serve in the highest office in the land."
"The Times Record","Brunswick, ME",9600,"C","","http://www.timesrecord.com/news/2016-10-10/Opinion/The_Times_Record_Endorses_Hillary_Clinton.html",43.906143,-69.99922,"Donald J. Trump is a hateful buffoon who has spent a lifetime elevating himself above others — often at their expense. His weapons of choice are braggadocio and rumor, coupled with a total and overt lack of humility and common decency."
"Mitchell Daily Republic","Mitchell, SD",9516,"NO","Mitt Romney","http://www.mitchellrepublic.com/opinion/columns/4143501-opinion-time-president-none-above",43.7094283,-98.0297992,"Donald Trump and Hillary Clinton are among the most flawed candidates in modern times to seek the presidency."
