newspaper,e2016,e2012,circulation,date,city,state,lat,lng
Star Tribune,Hillary Clinton,Barack Obama,585181,10/22/2016,Minneapolis,Minnesota,,
Rockford Register Star,Hillary Clinton,Barack Obama,77184,10/22/2016,Rockford,Illinois,,
The Sun,No endorsement,Mitt Romney,42000,10/22/2016,Lowell,Massachusetts,,
The State Journal-Register,Hillary Clinton,No endorsement,70424,10/22/2016,Springfield,Illinois,,
Las Vegas Review-Journal,Donald Trump,Mitt Romney,220723,10/22/2016,Las Vegas,Nevada,,
The Bulletin,Hillary Clinton,Mitt Romney,29371,10/22/2016,Norwich,Connecticut,,
The Bradenton Herald,No endorsement,No endorsement,45387,10/22/2016,Bradenton,Florida,,
Tiffin Advertiser-Tribune,Not Hillary Clinton,None,9200,10/23/2016,Tiffin,Ohio,,
Lincoln Journal Star,Hillary Clinton,Barack Obama,83674,10/23/2016,Lincoln,Nebraska,,
News & Record,Hillary Clinton,No endorsement,170000,10/23/2016,Greensboro,North Carolina,,
Quad-City Times,Hillary Clinton,Mitt Romney,50600,10/23/2016,Davenport,Iowa,,
The Decatur Daily,Hillary Clinton,Barack Obama,24807,10/23/2016,Decatur,Alabama,,
Carroll County Times,No endorsement,No endorsement,27171,10/23/2016,Westminster,Maryland,,
Cape Cod Times,Hillary Clinton,Mitt Romney,38956,10/23/2016,Hyannis,Massachusetts,,
The Southern Illinoisan,Hillary Clinton,Mitt Romney,28000,10/23/2016,Carbondale,Illinois,,
The Daily News,Hillary Clinton,Mitt Romney,24331,10/23/2016,Galveston,Texas,,
The Scranton Times-Tribune,Hillary Clinton,Barack Obama,63351,10/23/2016,Scranton,Pennsylvania,,
The Citizens' Voice,Hillary Clinton,Barack Obama,29575,10/23/2016,Wilkes-Barre,Pennsylvania,,
The Waterloo-Cedar Falls Courier,No endorsement,Mitt Romney,51836,10/23/2016,Waterloo,Iowa,,
The Star-Ledger,Hillary Clinton,Barack Obama,289882,10/23/2016,Newark,New Jersey,,
Globe Gazette,Hillary Clinton,No endorsement,23035,10/23/2016,Mason City,Iowa,,
The Beaumont Enterprise,Hillary Clinton,Mitt Romney,110722,10/23/2016,Beaumont,Texas,,
West Central Tribune,No endorsement,Mitt Romney,107232016,10/23/2016,Willmar,Minnesota,,
The Dickinson Press,No endorsement,Mitt Romney,57582016,10/23/2016,Dickinson,North Dakota,,
The Forum of Fargo-Moorhead,No endorsement,Mitt Romney,51106,10/23/2016,Fargo,North Dakota,,
Grand Forks Herald,No endorsement,Mitt Romney,213242016,10/23/2016,Grand Forks,North Dakota,,
Sentinel & Enterprise,No endorsement,Mitt Romney,16393,10/23/2016,Fitchburg,Massachusetts,,
Duluth News Tribune,No endorsement,Mitt Romney,315342016,10/23/2016,Duluth,Minnesota,,
The Gazette,Hillary Clinton,Mitt Romney,58000,10/23/2016,Cedar Rapids,Iowa,,
Honolulu Star-Advertiser,Hillary Clinton,Barack Obama,209915,10/23/2016,"Honolulu, Hawaii",Hawaii,,
The Bryan-College Station Eagle,Hillary Clinton,Mitt Romney,25918,10/23/2016,Bryan,Texas,,
The Gazette,No endorsement,Mitt Romney,60933,10/23/2016,Colorado Springs,Colorado,,
The Tennessean,No endorsement,Mitt Romney,263412,10/23/2016,Nashville,Tennessee,,
The Times of Northwest Indiana,No endorsement,Mitt Romney,93463,10/23/2016,Munster,Indiana,,
The Daily Press,Hillary Clinton,Mitt Romney,79000,10/23/2016,Newport News,Virginia,,
AM New York,Hillary Clinton,No Endorsement,336000,10/24/2016,New York,New York,,
Mitchell Daily Republic,No endorsement,Mitt Romney,95162016,10/24/2016,Mitchell,South Dakota,,
Jamestown Sun,No endorsement,Mitt Romney,47162016,10/24/2016,Jamestown,North Dakota,,
